"Plot65"
"Time (sec)","Acceleration26 (meter/sec**2)"
13.1460000000011,2.41341662031047
13.1480000000011,2.40673819932003
13.1500000000011,2.40009755290311
13.1520000000011,2.39336023933244
13.1540000000011,2.38665159777853
13.1560000000011,2.37992820070066
13.1580000000011,2.3731583324072
13.1600000000011,2.3663838313326
13.1620000000011,2.35957546280328
13.1640000000011,2.35276432495537
13.1660000000011,2.34592892644182
13.1680000000011,2.33909292884437
13.1700000000011,2.33220867777122
13.1720000000011,2.32533627361173
13.1740000000011,2.31844771673617
13.1760000000011,2.31151721516149
13.1780000000011,2.30459435753231
13.1800000000011,2.29763929843774
13.1820000000011,2.2906831083257
13.1840000000011,2.28369143693843
13.1860000000011,2.27670273153189
13.1880000000011,2.26966889292838
13.1900000000011,2.26265611746931
13.1920000000011,2.255613968381
13.1940000000011,2.2485476937792
13.1960000000011,2.2414608415105
13.1980000000011,2.2341951009718
13.2000000000011,2.22733201774107
13.2020000000011,2.22018501188048
13.2040000000011,2.21291091424101
13.2060000000011,2.20585910316052
13.2080000000011,2.19854663299338
13.2100000000011,2.19150619909543
13.2120000000011,2.18428675789184
13.2140000000011,2.17704601246814
13.2160000000011,2.16978845285962
13.2180000000011,2.1625411525974
13.2200000000011,2.15527483647775
13.2220000000011,2.14797792963703
13.2240000000011,2.14065169134627
13.2260000000011,2.1333222896273
13.2280000000011,2.12599255567195
13.2300000000011,2.11865080504712
13.2320000000011,2.11130900817123
13.2340000000011,2.10385430619137
13.2360000000011,2.0965501139765
13.2380000000011,2.08909029188959
13.2400000000011,2.08167181473899
13.2420000000011,2.07424698478266
13.2440000000011,2.06678259941605
13.2460000000011,2.05930356260945
13.2480000000011,2.05183693143219
13.2500000000011,2.0443475749675
13.2520000000011,2.036828916199
13.2540000000011,2.02932335832006
13.2560000000011,2.02179493173367
13.2580000000011,2.01423021696582
13.2600000000011,2.00666048799065
13.2620000000011,1.9990917934219
13.2640000000011,1.99149786443794
13.2660000000011,1.98380985704886
13.2680000000011,1.97625386793236
13.2700000000011,1.96861664265788
13.2720000000011,1.96076634704124
13.2740000000011,1.95340135474246
13.2760000000011,1.94568585643774
13.2780000000011,1.93800308205229
13.2800000000011,1.9302961354188
13.2820000000011,1.92257720480743
13.2840000000011,1.91487952252029
13.2860000000011,1.90721319557811
13.2880000000011,1.89954387635961
13.2900000000011,1.89181681571586
13.2920000000011,1.88417150176682
13.2940000000011,1.87642801361961
13.2960000000011,1.868779728897
13.2980000000011,1.86108160255573
13.3000000000011,1.85338959188683
13.3020000000011,1.84578755145051
13.3040000000011,1.83795078167496
13.3060000000011,1.83030973681894
13.3080000000011,1.82256488938144
13.3100000000011,1.81481033181007
13.3120000000011,1.80725102350424
13.3140000000011,1.79936840120044
13.3160000000011,1.79155141361056
13.3180000000011,1.78385853248702
13.3200000000011,1.77628217519997
