"Plot64"
"Time (sec)","Velocity30 (meter/sec)"
5.92199999999957,10.0441292642628
5.92399999999957,10.0401318379166
5.92599999999957,10.0361469280782
5.92799999999957,10.0321745356851
5.92999999999957,10.0282146620376
5.93199999999957,10.0242673085874
5.93399999999957,10.0203324768761
5.93599999999957,10.0164101685316
5.93799999999957,10.0125003851209
5.93999999999957,10.0086031282433
5.94199999999957,10.0047183994327
5.94399999999957,10.0008462004079
5.94599999999957,9.99698653282135
5.94799999999957,9.99313939830521
5.94999999999957,9.98930479871666
5.95199999999957,9.98548273592481
5.95399999999957,9.98167321149807
5.95599999999957,9.97787622841254
5.95799999999957,9.9740917874944
5.95999999999957,9.97031988973385
5.96199999999957,9.96656053667892
5.96399999999957,9.96281373024785
5.96599999999956,9.95907947225615
5.96799999999956,9.95535776455859
5.96999999999956,9.9516486090446
5.97199999999956,9.94795200747984
5.97399999999956,9.94426796155216
5.97599999999956,9.94059647294888
5.97799999999956,9.93693754346594
5.97999999999956,9.93329117493446
5.98199999999956,9.92965736922662
5.98399999999956,9.92603612803096
5.98599999999956,9.92242745301048
5.98799999999956,9.91883134590305
5.98999999999956,9.91524780829987
5.99199999999956,9.91167684151901
5.99399999999956,9.9081184467128
5.99599999999956,9.90457262495221
5.99799999999956,9.90103937724397
5.99999999999956,9.89751870465562
6.00199999999956,9.89401060842139
6.00399999999956,9.89051508978908
6.00599999999956,9.88703215012423
6.00799999999956,9.88356179085322
6.00999999999956,9.88010401313324
6.01199999999956,9.87665881804328
6.01399999999956,9.87322620680466
6.01599999999956,9.86980618078171
6.01799999999956,9.86639874137556
6.01999999999956,9.8630038899614
6.02199999999956,9.85962162892893
6.02399999999956,9.85625195897223
6.02599999999956,9.85289488097136
6.02799999999956,9.84955039528549
6.02999999999956,9.84621850323267
6.03199999999956,9.84289920801902
6.03399999999956,9.83959251118172
6.03599999999956,9.83629841292811
6.03799999999956,9.83301691473308
6.03999999999956,9.82974801803619
6.04199999999956,9.82649172417425
6.04399999999956,9.82324803412198
6.04599999999956,9.82001695036188
6.04799999999956,9.8167984739701
6.04999999999956,9.81359260684416
6.05199999999956,9.81039934607067
6.05399999999956,9.80721869546784
6.05599999999956,9.80405065860727
6.05799999999955,9.80089523747877
6.05999999999955,9.79775243320554
6.06199999999955,9.79462224680112
6.06399999999955,9.7915046794549
6.06599999999955,9.78839973252247
6.06799999999955,9.78530740742763
6.06999999999955,9.78222770855346
6.07199999999955,9.77916063542033
6.07399999999955,9.77610618794036
6.07599999999955,9.77306436726585
6.07799999999955,9.77003517472911
6.07999999999955,9.76701861151225
6.08199999999955,9.76401467811601
6.08399999999955,9.76102337381767
6.08599999999955,9.75804469797668
6.08799999999955,9.75507865057411
6.08999999999955,9.75212523209509
6.09199999999955,9.74918444390225
6.09399999999955,9.7462562866244
6.09599999999955,9.74334076097514
6.09799999999955,9.74043786787417
6.09999999999955,9.7375476083368
6.10199999999955,9.73466998344901
6.10399999999955,9.73180499431994
6.10599999999955,9.72895264202477
6.10799999999955,9.7261129276426
6.10999999999955,9.72328585223718
6.11199999999955,9.72047141688984
6.11399999999955,9.71766962278958
6.11599999999955,9.71488047111812
6.11799999999955,9.71210396300546
6.11999999999955,9.70934009952744
6.12199999999955,9.70658888179413
6.12399999999955,9.70385031089082
6.12599999999955,9.70112438787138
6.12799999999955,9.69841111386787
6.12999999999955,9.69571049010327
6.13199999999955,9.69302251782553
6.13399999999955,9.69034719825478
6.13599999999955,9.68768453263763
6.13799999999955,9.68503452226177
6.13999999999955,9.68239716829445
6.14199999999955,9.67977247185851
6.14399999999955,9.67716043411104
6.14599999999955,9.67456105625438
6.14799999999954,9.67197433949458
6.14999999999954,9.66940028492892
6.15199999999954,9.66683889344099
6.15399999999954,9.66429016570751
6.15599999999954,9.66175410229351
6.15799999999954,9.65923070374466
6.15999999999954,9.65671997412292
6.16199999999954,9.6542219116334
6.16399999999954,9.65173651499608
6.16599999999954,9.64926378449244
6.16799999999954,9.6468037211311
6.16999999999954,9.64435632613969
6.17199999999954,9.64192160056983
6.17399999999954,9.63949954528998
6.17599999999954,9.63709016108237
6.17799999999954,9.63469344871337
6.17999999999954,9.63230940895771
6.18199999999954,9.6299380426023
6.18399999999954,9.62757935044638
6.18599999999954,9.62523333329736
6.18799999999954,9.6228999919688
6.18999999999954,9.62057932728045
6.19199999999954,9.61827134005884
6.19399999999954,9.61597603113825
6.19599999999954,9.61369340136138
6.19799999999954,9.6114234515789
6.19999999999954,9.60916618264945
6.20199999999954,9.60692159544022
6.20399999999954,9.60468969072781
6.20599999999954,9.60247046946418
6.20799999999954,9.60026393259276
6.20999999999954,9.59807008100064
6.21199999999954,9.59588891560282
6.21399999999954,9.59372043731849
6.21599999999954,9.59156464706967
6.21799999999954,9.58942154578519
6.21999999999954,9.58729113440334
6.22199999999954,9.58517341387236
6.22399999999954,9.58306838515004
6.22599999999954,9.58097604920318
6.22799999999954,9.57889640700735
6.22999999999954,9.57682945954674
6.23199999999954,9.5747752078142
6.23399999999954,9.57273365281115
6.23599999999954,9.57070479554756
6.23799999999954,9.56868863704207
6.23999999999953,9.56668517831654
6.24199999999953,9.56469442013471
6.24399999999953,9.56271636243152
6.24599999999953,9.56075100421661
6.24799999999953,9.55879834428841
6.24999999999953,9.55685838187306
6.25199999999953,9.55493111674875
6.25399999999953,9.55301654908162
6.25599999999953,9.55111467923185
6.25799999999953,9.54922550764738
6.25999999999953,9.54734903492218
6.26199999999953,9.54548526152025
6.26399999999953,9.54363418793554
6.26599999999953,9.54179581288481
6.26799999999953,9.53997013826761
6.26999999999953,9.53815716571954
6.27199999999953,9.53635689605367
6.27399999999953,9.53456932967427
6.27599999999953,9.53279446688205
6.27799999999953,9.53103230822544
6.27999999999953,9.52928285432899
6.28199999999953,9.5275461058284
6.28399999999953,9.52582206336291
6.28599999999953,9.52411072758202
6.28799999999953,9.52241209914951
6.28999999999953,9.52072617878309
6.29199999999953,9.51905296723138
6.29399999999953,9.51739246513092
6.29599999999953,9.51574467319113
6.29799999999953,9.51410959212203
6.29999999999953,9.51248722263466
6.30199999999953,9.51087756545244
6.30399999999953,9.50928062131489
6.30599999999953,9.50769639030598
6.30799999999953,9.50612487356484
6.30999999999953,9.50456607229732
6.31199999999953,9.50301998733213
6.31399999999953,9.50148661913532
6.31599999999953,9.4999659679229
6.31799999999953,9.4984580345473
6.31999999999953,9.49696281856828
6.32199999999953,9.4954803196803
6.32399999999953,9.49401053795534
6.32599999999953,9.49255347367561
6.32799999999953,9.49110912717304
6.32999999999952,9.48967749876579
6.33199999999952,9.48825858875572
6.33399999999952,9.4868523975775
6.33599999999952,9.48545892538594
6.33799999999952,9.48407817249665
6.33999999999952,9.48271013918474
6.34199999999952,9.48135482438382
6.34399999999952,9.48001222953128
6.34599999999952,9.47868235581825
6.34799999999952,9.47736520376636
6.34999999999952,9.4760607735726
6.35199999999952,9.47476906541736
6.35399999999952,9.4734900795722
6.35599999999952,9.47222381638973
6.35799999999952,9.47097027627719
6.35999999999952,9.46972945966536
6.36199999999952,9.4685013669834
6.36399999999952,9.46728599778765
6.36599999999952,9.46608335309295
6.36799999999952,9.46489343386054
6.36999999999952,9.46371624066896
6.37199999999952,9.46255177389645
6.37399999999952,9.46140003408087
6.37599999999952,9.46026102149095
6.37799999999952,9.45913473637848
6.37999999999952,9.45802117928728
6.38199999999952,9.45692035085695
6.38399999999952,9.45583225130606
6.38599999999952,9.45475688146822
6.38799999999952,9.45369424213925
6.38999999999952,9.45264433391053
6.39199999999952,9.45160715728089
6.39399999999952,9.4505827127724
6.39599999999952,9.44957100084382
6.39799999999952,9.44857202217566
6.39999999999952,9.44758577732761
6.40199999999952,9.44661226933703
6.40399999999952,9.44565149703367
6.40599999999952,9.44470345726565
6.40799999999952,9.44376815129241
6.40999999999952,9.44284558350994
6.41199999999952,9.44193574994179
6.41399999999952,9.44103864248371
6.41599999999952,9.44015426279752
6.41799999999952,9.43928261337405
6.41999999999951,9.43842369516813
6.42199999999951,9.43757750808117
6.42399999999951,9.43674405178285
6.42599999999951,9.43592332605841
6.42799999999951,9.43511533090303
6.42999999999951,9.43432006667502
6.43199999999951,9.43353753355289
6.43399999999951,9.43276773168018
6.43599999999951,9.43201066115594
6.43799999999951,9.43126632227334
6.43999999999951,9.43053471531373
6.44199999999951,9.42981584053529
6.44399999999951,9.42910969820189
6.44599999999951,9.42841628857732
6.44799999999951,9.42773561190377
6.44999999999951,9.42706766842489
6.45199999999951,9.42641245840795
6.45399999999951,9.42576998214694
6.45599999999951,9.425140239956
6.45799999999951,9.42452323216246
6.45999999999951,9.42391895918646
6.46199999999951,9.4233274213087
6.46399999999951,9.42274861884042
6.46599999999951,9.42218255213342
6.46799999999951,9.42162922157008
6.46999999999951,9.4210886275448
6.47199999999951,9.42056076050613
6.47399999999951,9.42004504315955
6.47599999999951,9.41953954191815
6.47799999999951,9.41904115725891
6.47999999999951,9.41854741257518
6.48199999999951,9.41805727829859
6.48399999999951,9.41757077275274
6.48599999999951,9.41708833471607
6.48799999999951,9.41661043102708
6.48999999999951,9.41613741610547
6.49199999999951,9.41566952633927
6.49399999999951,9.41520690749333
6.49599999999951,9.41474964933951
6.49799999999951,9.41429781095612
6.49999999999951,9.41385142741429
6.50199999999951,9.41341052483026
6.50399999999951,9.41297512103581
6.50599999999951,9.41254523061953
6.50799999999951,9.41212086207124
6.50999999999951,9.41170202150663
6.5119999999995,9.41128871275112
6.5139999999995,9.41088093887489
6.5159999999995,9.41047870208956
6.5179999999995,9.41008200481721
6.5199999999995,9.40969084946783
6.5219999999995,9.40930523815668
6.5239999999995,9.40892517255292
6.5259999999995,9.40855065441429
6.5279999999995,9.40818168513278
6.5299999999995,9.40781826574787
6.5319999999995,9.40746039839481
6.5339999999995,9.40710808464569
6.5359999999995,9.40676132409842
6.5379999999995,9.40642011958856
6.5399999999995,9.40608447294958
6.5419999999995,9.40575438484743
6.5439999999995,9.40542985610857
6.5459999999995,9.40511088730339
6.5479999999995,9.40479747962557
6.5499999999995,9.40448963457763
6.5519999999995,9.4041873533651
6.5539999999995,9.40389063673025
6.5559999999995,9.40359948614115
6.5579999999995,9.40331390256165
6.5599999999995,9.40303388675659
6.5619999999995,9.40275944001426
6.5639999999995,9.4024905632873
6.5659999999995,9.40222725753829
6.5679999999995,9.40196936707471
6.5699999999995,9.40171372818896
6.5719999999995,9.40145390211867
6.5739999999995,9.40118415895504
6.5759999999995,9.4009040964274
6.5779999999995,9.40061652216937
6.5799999999995,9.40032451119193
6.5819999999995,9.40003016176555
6.5839999999995,9.39973459941225
6.5859999999995,9.39943836348579
6.5879999999995,9.39914172554976
6.5899999999995,9.39884485068168
6.5919999999995,9.39854785472357
6.5939999999995,9.39825081950217
6.5959999999995,9.3979537990826
6.5979999999995,9.39765682639731
6.5999999999995,9.39735992018698
6.60199999999949,9.39706309056189
6.60399999999949,9.39676634265352
6.60599999999949,9.39646967865305
6.60799999999949,9.39617309898214
6.60999999999949,9.39587660295057
6.61199999999949,9.39558018916467
6.61399999999949,9.39528385579631
6.61599999999949,9.39498760076079
6.61799999999949,9.39469142183244
6.61999999999949,9.39439531671811
6.62199999999949,9.39409928310314
6.62399999999949,9.39380331866986
6.62599999999949,9.39350742114382
6.62799999999949,9.39321158829012
6.62999999999949,9.3929158179128
6.63199999999949,9.39262010786089
6.63399999999949,9.39232445603283
6.63599999999949,9.39202886038125
6.63799999999949,9.39173331891533
6.63999999999949,9.39143782970065
6.64199999999949,9.39114239085823
6.64399999999949,9.39084700056372
6.64599999999949,9.39055165704688
6.64799999999949,9.39025635859123
6.64999999999949,9.38996110353343
6.65199999999949,9.38966589026256
6.65399999999949,9.3893707172192
6.65599999999949,9.3890755828945
6.65799999999949,9.38878048582913
6.65999999999949,9.38848542461226
6.66199999999949,9.38819039788049
6.66399999999949,9.38789540431675
6.66599999999949,9.3876004426492
6.66799999999949,9.38730551165004
6.66999999999949,9.38701061013447
6.67199999999949,9.38671573695945
6.67399999999949,9.38642089102258
6.67599999999949,9.38612607126064
6.67799999999949,9.38583127664882
6.67999999999949,9.38553650620009
6.68199999999949,9.38524175896403
6.68399999999949,9.38494703402491
6.68599999999949,9.38465233050039
6.68799999999949,9.38435764754078
6.68999999999949,9.38406298432811
6.69199999999949,9.38376834007542
6.69399999999948,9.38347371402576
6.69599999999948,9.38317910545096
6.69799999999948,9.38288451365058
6.69999999999948,9.38258993795099
6.70199999999948,9.38229537770379
6.70399999999948,9.38200083228623
6.70599999999948,9.3817063011003
6.70799999999948,9.38141178357106
6.70999999999948,9.38111727914561
6.71199999999948,9.38082278729211
6.71399999999948,9.38052830749972
6.71599999999948,9.38023383927813
6.71799999999948,9.37993938215654
6.71999999999948,9.37964493568263
6.72199999999948,9.37935049942191
6.72399999999948,9.37905607295722
6.72599999999948,9.37876165588801
6.72799999999948,9.37846724782969
6.72999999999948,9.3781728484131
6.73199999999948,9.3778784572822
6.73399999999948,9.37758407410181
6.73599999999948,9.37728969854621
6.73799999999948,9.37699533029591
6.73999999999948,9.37670096904782
6.74199999999948,9.37640661451494
6.74399999999948,9.37611226642668
6.74599999999948,9.37581792451839
6.74799999999948,9.37552358853147
6.74999999999948,9.37522925821681
6.75199999999948,9.37493493333968
6.75399999999948,9.37464061368001
6.75599999999948,9.37434629902539
6.75799999999948,9.37405198917401
6.75999999999948,9.37375768391351
6.76199999999948,9.3734633830499
6.76399999999948,9.37316908640865
6.76599999999948,9.37287479382028
6.76799999999948,9.37258050511644
6.76999999999948,9.3722862201313
6.77199999999948,9.37199193871967
6.77399999999948,9.37169766071921
6.77599999999948,9.37140338598227
6.77799999999948,9.37110911438136
6.77999999999948,9.37081484579409
6.78199999999948,9.37052058009583
6.78399999999947,9.3702263171511
6.78599999999947,9.36993205685671
6.78799999999947,9.36963779910743
6.78999999999947,9.36934354379093
6.79199999999947,9.36904929080058
6.79399999999947,9.36875504004038
6.79599999999947,9.3684607914211
6.79799999999947,9.36816654484351
6.79999999999947,9.36787230023831
6.80199999999947,9.36757805752808
6.80399999999947,9.36728381662796
6.80599999999947,9.36698957745187
6.80799999999947,9.3666953399314
6.80999999999947,9.36640110399946
6.81199999999947,9.36610686958716
6.81399999999947,9.3658126366402
6.81599999999947,9.3655184050946
6.81799999999947,9.36522417488877
6.81999999999947,9.36492994596753
6.82199999999947,9.36463571827395
6.82399999999947,9.36434149175988
6.82599999999947,9.36404726637524
6.82799999999947,9.36375304207169
6.82999999999947,9.36345881880581
6.83199999999947,9.36316459653493
6.83399999999947,9.36287037521825
6.83599999999947,9.36257615481422
6.83799999999947,9.36228193528569
6.83999999999947,9.36198771659407
6.84199999999947,9.36169349870323
6.84399999999947,9.36139928158059
6.84599999999947,9.36110506519545
6.84799999999947,9.36081084951856
6.84999999999947,9.36051663451973
6.85199999999947,9.36022242016956
6.85399999999947,9.35992820644026
6.85599999999947,9.35963399330585
6.85799999999947,9.35933978074179
6.85999999999947,9.35904556872455
6.86199999999947,9.35875135723138
6.86399999999947,9.35845714624031
6.86599999999947,9.35816293573024
6.86799999999947,9.357868725681
6.86999999999947,9.35757451607327
6.87199999999947,9.35728030688859
6.87399999999946,9.35698609810925
6.87599999999946,9.35669188971832
6.87799999999946,9.35639768169953
6.87999999999946,9.35610347403733
6.88199999999946,9.35580926671678
6.88399999999946,9.3555150597236
6.88599999999946,9.35522085304408
6.88799999999946,9.3549266466651
6.88999999999946,9.35463244057408
6.89199999999946,9.35433823475897
6.89399999999946,9.35404402920823
6.89599999999946,9.35374982391079
6.89799999999946,9.35345561885605
6.89999999999946,9.35316141403385
6.90199999999946,9.35286720943445
6.90399999999946,9.35257300504807
6.90599999999946,9.35227880086655
6.90799999999946,9.35198459688154
6.90999999999946,9.35169039308435
6.91199999999946,9.35139618946673
6.91399999999946,9.35110198602121
6.91599999999946,9.35080778274082
6.91799999999946,9.35051357961882
6.91999999999946,9.35021937664859
6.92199999999946,9.34992517382373
6.92399999999946,9.34963097113809
6.92599999999946,9.34933676858582
6.92799999999946,9.34904256616132
6.92999999999946,9.34874836385926
6.93199999999946,9.3484541616745
6.93399999999946,9.34815995960215
6.93599999999946,9.3478657576375
6.93799999999946,9.34757155577604
6.93999999999946,9.34727735401344
6.94199999999946,9.34698315234558
6.94399999999946,9.34668895076848
6.94599999999946,9.34639474927835
6.94799999999946,9.34610054787154
6.94999999999946,9.34580634654456
6.95199999999946,9.34551214529408
6.95399999999946,9.3452179441164
6.95599999999946,9.34492374300926
6.95799999999946,9.34462954196995
6.95999999999946,9.34433534099514
6.96199999999946,9.34404114008173
6.96399999999946,9.34374693922712
6.96599999999945,9.34345273842925
6.96799999999945,9.34315853768593
6.96999999999945,9.34286433699481
6.97199999999945,9.34257013635357
6.97399999999945,9.34227593576006
6.97599999999945,9.34198173521232
6.97799999999945,9.34168753470846
6.97999999999945,9.34139333424665
6.98199999999945,9.34109913382512
6.98399999999945,9.34080493344217
6.98599999999945,9.34051073309619
6.98799999999945,9.34021653278562
6.98999999999945,9.33992233250899
6.99199999999945,9.33962813226487
6.99399999999945,9.3393339320519
6.99599999999945,9.33903973186878
6.99799999999945,9.33874553171426
6.99999999999945,9.33845133158714
7.00199999999945,9.33815713148627
7.00399999999945,9.33786293141057
7.00599999999945,9.33756873135896
7.00799999999945,9.33727453133037
7.00999999999945,9.33698033132397
7.01199999999945,9.33668613133888
7.01399999999945,9.33639193137409
7.01599999999945,9.33609773142869
7.01799999999945,9.33580353150188
7.01999999999945,9.33550933159292
7.02199999999945,9.33521513170112
7.02399999999945,9.33492093182574
7.02599999999945,9.33462673196609
7.02799999999945,9.33433253212151
7.02999999999945,9.33403833229135
7.03199999999945,9.33374413247501
7.03399999999945,9.3334499326719
7.03599999999945,9.33315573288149
7.03799999999945,9.33286153310323
7.03999999999945,9.33256733333662
7.04199999999945,9.33227313358117
7.04399999999945,9.33197893383642
7.04599999999945,9.33168473410191
7.04799999999945,9.33139053437632
7.04999999999945,9.33109633466079
7.05199999999945,9.33080213495533
7.05399999999945,9.33050793525854
7.05599999999944,9.33021373556929
7.05799999999944,9.32991953588737
7.05999999999944,9.32962533621295
7.06199999999944,9.32933113654606
7.06399999999944,9.32903693688644
7.06599999999944,9.32874273723366
7.06799999999944,9.32844853758731
7.06999999999944,9.32815433794707
7.07199999999944,9.32786013831267
7.07399999999944,9.32756593868387
7.07599999999944,9.32727173906045
7.07799999999944,9.32697753014582
7.07999999999944,9.32469219871251
7.08199999999944,9.3217494764288
