"Plot67"
"Time (sec)","Linear Acceleration5 (meter/sec**2)"
17.838000000001,0.355418450748133
17.840000000001,0.355570436000869
17.842000000001,0.355722686223987
17.844000000001,0.355875938220911
17.846000000001,0.356029377148786
17.848000000001,0.356183570334009
17.850000000001,0.356339760215317
17.852000000001,0.356494884774752
17.854000000001,0.356651680745773
17.856000000001,0.356809674936349
17.858000000001,0.356966802289768
17.860000000001,0.357125709057027
17.862000000001,0.35728486023209
17.864000000001,0.357444923709288
17.866000000001,0.357601345142654
17.868000000001,0.357764489853036
17.870000000001,0.357927755338094
17.872000000001,0.35809122693945
17.874000000001,0.358255059736183
17.876000000001,0.358419872421918
17.878000000001,0.358584395971658
17.880000000001,0.358749748488048
17.882000000001,0.358916412718706
17.884000000001,0.359082784359584
17.886000000001,0.359250398135394
17.888000000001,0.359418695350275
17.890000000001,0.359587634830135
17.892000000001,0.359757266645455
17.894000000001,0.359927570561218
17.896000000001,0.360098720535078
17.898000000001,0.360270327036895
17.900000000001,0.360442494893502
17.902000000001,0.36061599262892
17.904000000001,0.360789220622532
17.906000000001,0.360963759652959
17.908000000001,0.36113896436167
17.910000000001,0.36131483192491
17.912000000001,0.361491563458908
17.914000000001,0.361668719836599
17.9160000000009,0.36184650307603
17.9180000000009,0.36202511155551
17.9200000000009,0.362204474054782
17.9220000000009,0.362384510159779
17.9240000000009,0.362565241566883
17.9260000000009,0.362746681883968
17.9280000000009,0.362928801565132
17.9300000000009,0.363111604213831
17.9320000000009,0.363293469930603
17.9340000000009,0.363478264636835
17.9360000000009,0.363663869342477
17.9380000000009,0.36384973534501
17.9400000000009,0.364036022131118
17.9420000000009,0.364223196724867
17.9440000000009,0.364411185635424
17.9460000000009,0.36459973897145
17.9480000000009,0.364788459743785
17.9500000000009,0.364978369945461
17.9520000000009,0.365168962372639
17.9540000000009,0.365360322563474
17.9560000000009,0.365552304319169
17.9580000000009,0.365744871264655
17.9600000000009,0.365938601321775
17.9620000000009,0.366132119240875
17.9640000000009,0.366327115729061
17.9660000000009,0.366522536681981
17.9680000000009,0.366718554465241
17.9700000000009,0.366915550330054
17.9720000000009,0.367113100314355
17.9740000000009,0.367311756597495
17.9760000000009,0.36751031904852
17.9780000000009,0.367710104213069
17.9800000000009,0.367910570639111
17.9820000000009,0.36811174584501
17.9840000000009,0.368313610723316
17.9860000000009,0.368517807082123
17.9880000000009,0.368720205450364
17.9900000000009,0.368924143789802
17.9920000000009,0.36912811364209
17.9940000000009,0.369333470519513
17.9960000000009,0.369539713788074
17.9980000000009,0.369746305203546
18.0000000000009,0.36995403496375
18.0020000000009,0.370162378610171
18.0040000000009,0.370371009451881
18.0060000000009,0.370580769882809
18.0080000000009,0.370791220591861
18.0100000000009,0.371002383157853
18.0120000000009,0.371214261544304
18.0140000000009,0.371426835153028
18.0160000000009,0.37164028772053
18.0180000000009,0.3718542149672
18.0200000000009,0.372071078288503
18.0220000000009,0.372285664358757
18.0240000000009,0.372501077574939
18.0260000000009,0.372717551711369
18.0280000000009,0.372935120999873
18.0300000000009,0.373153263325568
18.0320000000009,0.373372052444131
18.0340000000009,0.373591985448963
18.0360000000009,0.373812270320862
18.0380000000009,0.374033424904426
18.0400000000009,0.374255474709399
18.0420000000009,0.374478421189821
18.0440000000009,0.374701359070543
18.0460000000009,0.374925695110324
18.0480000000009,0.37515052233599
18.0500000000009,0.37535511636174
18.0520000000009,0.375590737388418
18.0540000000009,0.375823392491327
18.0560000000009,0.376054504745985
18.0580000000009,0.37628498822595
18.0600000000009,0.376515398722972
18.0620000000009,0.376746307121559
18.0640000000009,0.376976839366575
18.0660000000009,0.377208478707087
18.0680000000009,0.37744004622392
18.0700000000009,0.377673287948603
18.0720000000009,0.377907073851715
18.0740000000009,0.378141822145939
18.0760000000009,0.378376708408904
18.0780000000009,0.378612076156616
18.0800000000009,0.37884865479902
18.0820000000009,0.379085911014726
18.0840000000009,0.379323876564694
18.0860000000009,0.379562552098682
18.0880000000009,0.379802159044577
18.0900000000009,0.380041881260436
18.0920000000009,0.38028283439107
18.0940000000009,0.380524503598549
18.0960000000008,0.380767121989225
18.0980000000008,0.381009836879223
18.1000000000008,0.381253708604534
18.1020000000008,0.381498303531295
18.1040000000008,0.381743617868719
18.1060000000008,0.381989670381781
18.1080000000008,0.382236451580558
18.1100000000008,0.382481442666833
18.1120000000008,0.382730833213365
18.1140000000008,0.38298088996217
18.1160000000008,0.383230679926666
18.1180000000008,0.38348160827339
18.1200000000008,0.383732542275633
18.1220000000008,0.383984715236822
18.1240000000008,0.384237530547763
18.1260000000008,0.384491069372466
18.1280000000008,0.384745292294141
18.1300000000008,0.385000285489668
18.1320000000008,0.38526766269911
18.1340000000008,0.385518845191198
18.1360000000008,0.385772921334075
18.1380000000008,0.386029254279264
18.1400000000008,0.386286473206581
18.1420000000008,0.386545312135095
18.1440000000008,0.386805154941975
18.1460000000008,0.387065918718191
18.1480000000008,0.387327523720935
18.1500000000008,0.387589871338283
18.1520000000008,0.387853194295753
18.1540000000008,0.388117205135701
18.1560000000008,0.388381619277783
18.1580000000008,0.388647101868968
18.1600000000008,0.388913366451258
18.1620000000008,0.389180519407312
18.1640000000008,0.389448242263094
18.1660000000008,0.389716730008312
18.1680000000008,0.389985977292435
18.1700000000008,0.390255985177048
18.1720000000008,0.390526747415238
18.1740000000008,0.390798693748738
18.1760000000008,0.391070768190777
18.1780000000008,0.391343690650587
18.1800000000008,0.391617430465726
18.1820000000008,0.391891954577168
18.1840000000008,0.392167381845576
18.1860000000008,0.392443378502552
18.1880000000008,0.392720027453345
18.1900000000008,0.392997894913189
18.1920000000008,0.393276415283148
18.1940000000008,0.393555628588725
18.1960000000008,0.393835078146515
18.1980000000008,0.394115720025777
18.2000000000008,0.394397255691625
18.2020000000008,0.394679240799506
18.2040000000008,0.39496224768216
18.2060000000008,0.395246971060587
18.2080000000008,0.395530948319819
18.2100000000008,0.39581588311616
18.2120000000008,0.396101718040174
18.2140000000008,0.396388717498217
18.2160000000008,0.396675733551963
18.2180000000008,0.396964149650184
18.2200000000008,0.397253241772083
18.2220000000008,0.397543093323149
18.2240000000008,0.397833718021043
18.2260000000008,0.398127568422738
18.2280000000008,0.398418643361391
18.2300000000008,0.398710927316588
